Imports/Exports,Time,Commodity Code,Description of Good,Country(Area),Value(USD$ 1000)
Exports,2022/9,8542, Electronic integrated circuits,Japan,1226327
Exports,2022/9,8542, Electronic integrated circuits,Netherlands,48240
Exports,2022/9,8542, Electronic integrated circuits,United States,280032
Exports,2022/10,8542, Electronic integrated circuits,Japan,1732549
Exports,2022/10,8542, Electronic integrated circuits,Netherlands,41430
Exports,2022/10,8542, Electronic integrated circuits,United States,251788
Exports,2022/11,8542, Electronic integrated circuits,Japan,1556250
Exports,2022/11,8542, Electronic integrated circuits,Netherlands,46324
Exports,2022/11,8542, Electronic integrated circuits,United States,283029
Exports,2022/12,8542, Electronic integrated circuits,Japan,1328654
Exports,2022/12,8542, Electronic integrated circuits,Netherlands,42406
Exports,2022/12,8542, Electronic integrated circuits,United States,290370
Exports,2023/1,8542, Electronic integrated circuits,Japan,1449956
Exports,2023/1,8542, Electronic integrated circuits,Netherlands,46663
Exports,2023/1,8542, Electronic integrated circuits,United States,211623
Exports,2023/2,8542, Electronic integrated circuits,Japan,1100684
Exports,2023/2,8542, Electronic integrated circuits,Netherlands,38884
Exports,2023/2,8542, Electronic integrated circuits,United States,255764
Exports,2023/3,8542, Electronic integrated circuits,Japan,1138710
Exports,2023/3,8542, Electronic integrated circuits,Netherlands,56955
Exports,2023/3,8542, Electronic integrated circuits,United States,284973
Exports,2023/4,8542, Electronic integrated circuits,Japan,1868408
Exports,2023/4,8542, Electronic integrated circuits,Netherlands,41850
Exports,2023/4,8542, Electronic integrated circuits,United States,258951
Exports,2023/5,8542, Electronic integrated circuits,Japan,1613828
Exports,2023/5,8542, Electronic integrated circuits,Netherlands,46857
Exports,2023/5,8542, Electronic integrated circuits,United States,296411
Exports,2023/6,8542, Electronic integrated circuits,Japan,1051723
Exports,2023/6,8542, Electronic integrated circuits,Netherlands,45205
Exports,2023/6,8542, Electronic integrated circuits,United States,225747
Exports,2023/7,8542, Electronic integrated circuits,Japan,1322939
Exports,2023/7,8542, Electronic integrated circuits,Netherlands,40306
Exports,2023/7,8542, Electronic integrated circuits,United States,237312
Exports,2023/8,8542, Electronic integrated circuits,Japan,1254551
Exports,2023/8,8542, Electronic integrated circuits,Netherlands,37317
Exports,2023/8,8542, Electronic integrated circuits,United States,247991
Exports,2023/9,8542, Electronic integrated circuits,Japan,869382
Exports,2023/9,8542, Electronic integrated circuits,Netherlands,40113
Exports,2023/9,8542, Electronic integrated circuits,United States,410168
Exports,2023/10,8542, Electronic integrated circuits,Japan,1157342
Exports,2023/10,8542, Electronic integrated circuits,Netherlands,24098
Exports,2023/10,8542, Electronic integrated circuits,United States,323612
Exports,2023/11,8542, Electronic integrated circuits,Japan,1317568
Exports,2023/11,8542, Electronic integrated circuits,Netherlands,27659
Exports,2023/11,8542, Electronic integrated circuits,United States,365071
Exports,2023/12,8542, Electronic integrated circuits,Japan,1510547
Exports,2023/12,8542, Electronic integrated circuits,Netherlands,29975
Exports,2023/12,8542, Electronic integrated circuits,United States,380071
Exports,2024/1,8542, Electronic integrated circuits,Japan,682308
Exports,2024/1,8542, Electronic integrated circuits,Netherlands,32278
Exports,2024/1,8542, Electronic integrated circuits,United States,410473
Exports,2024/2,8542, Electronic integrated circuits,Japan,751942
Exports,2024/2,8542, Electronic integrated circuits,Netherlands,26888
Exports,2024/2,8542, Electronic integrated circuits,United States,372270
Exports,2024/3,8542, Electronic integrated circuits,Japan,1246218
Exports,2024/3,8542, Electronic integrated circuits,Netherlands,27693
Exports,2024/3,8542, Electronic integrated circuits,United States,424014
Exports,2024/4,8542, Electronic integrated circuits,Japan,791666
Exports,2024/4,8542, Electronic integrated circuits,Netherlands,27138
Exports,2024/4,8542, Electronic integrated circuits,United States,465527
Exports,2024/5,8542, Electronic integrated circuits,Japan,780147
Exports,2024/5,8542, Electronic integrated circuits,Netherlands,32122
Exports,2024/5,8542, Electronic integrated circuits,United States,514061
Exports,2024/6,8542, Electronic integrated circuits,Japan,783219
Exports,2024/6,8542, Electronic integrated circuits,Netherlands,66840
Exports,2024/6,8542, Electronic integrated circuits,United States,574021
Exports,2024/7,8542, Electronic integrated circuits,Japan,1038116
Exports,2024/7,8542, Electronic integrated circuits,Netherlands,25320
Exports,2024/7,8542, Electronic integrated circuits,United States,665341
Exports,2024/8,8542, Electronic integrated circuits,Japan,820700
Exports,2024/8,8542, Electronic integrated circuits,Netherlands,32116
Exports,2024/8,8542, Electronic integrated circuits,United States,758173
Exports,2024/9,8542, Electronic integrated circuits,Japan,1004569
Exports,2024/9,8542, Electronic integrated circuits,Netherlands,26574
Exports,2024/9,8542, Electronic integrated circuits,United States,925533
Exports,2024/10,8542, Electronic integrated circuits,Japan,839515
Exports,2024/10,8542, Electronic integrated circuits,Netherlands,26914
Exports,2024/10,8542, Electronic integrated circuits,United States,843447
Exports,2024/11,8542, Electronic integrated circuits,Japan,829379
Exports,2024/11,8542, Electronic integrated circuits,Netherlands,30516
Exports,2024/11,8542, Electronic integrated circuits,United States,655072
Exports,2024/12(preliminary),8542, Electronic integrated circuits,Japan,856061
Exports,2024/12(preliminary),8542, Electronic integrated circuits,Netherlands,20263
Exports,2024/12(preliminary),8542, Electronic integrated circuits,United States,795219
